S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
49,"Mahindra Thar CRDe AC",Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,0,5.5
50,"Audi A4 2.0 TDI 177 Premium Plus",Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,0,21.43
51,"Maruti Swift LDI",Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,0,4.25
52,"Maruti Swift Ldi BSIV",Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,0,3.3
53,"Maruti Swift VDI",Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,0,3.85
54,"Hyundai Grand i10 Sportz",Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,0,3.6
55,"Volkswagen Vento 2013-2015 1.6 Comfortline",Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,0,3.99
56,"Renault KWID RXT",Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,0,3.3
57,"Hyundai i10 Asta",Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,0,2.07
58,"Nissan X-Trail SLX AT",Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,0,7.75
59,"Maruti Zen Estilo VXI BSIII",Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,0,2.25
60,"Toyota Innova Crysta 2.4 GX MT 8S",Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,19.34,16.5
61,"Ford Figo Diesel Titanium",Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,0,2.75
62,"Mercedes-Benz New C-Class C 200 CGI Avantgarde",Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,0,26.7
63,"Mercedes-Benz New C-Class 200 CDI Classic",Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,0,10
64,"Tata Indica V2 eLS",Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,0,2.5
65,"Audi A4 2.0 TDI Multitronic",Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,0,13.5
66,"Honda City ZX CVT",Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,0,1.85
67,"Mercedes-Benz C-Class Progressive C 220d",Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,49.14,35.67
68,"Maruti Ertiga SHVS VDI",Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,0,8.15
69,"Hyundai Creta 1.4 E Plus Diesel",Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,11.81,10.5
70,"Porsche Cayenne 2009-2014 Turbo",Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,0,14.5
71,"Mahindra XUV500 W8 4WD",Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,0,9.65
72,"Hyundai i10 Sportz 1.2 AT",Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,0,3.48
73,"Nissan Terrano XV D Pre",Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,16.65,6.92
74,"Honda Brio VX AT",Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,0,6.46
75,"Audi A6 2.0 TDI Design Edition",Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,0,29.5
76,"Ford Fiesta 1.4 SXi TDCi",Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,NULL,5,0,2
77,"Toyota Innova 2.0 G1",Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,0,4.5
78,"Toyota Innova 2.5 VX 7 STR BSIV",Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,0,11.75
79,"Hyundai Santro Xing XL",Hyderabad,2005,87591,Petrol,Manual,First,0,1086,NULL,5,0,1.3
80,"Maruti Swift VDI",Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,0,3.75
81,"Tata Zest Revotron 1.2T XE",Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,6.67,4.5
82,"Honda Amaze SX i-VTEC",Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,0,4.82
83,"Ford Figo Diesel ZXI",Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,0,2.8
84,"Maruti Ritz VDi",Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,0,3.11
85,"Honda City i VTEC E",Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,0,3.25
86,"BMW 5 Series 2003-2012 525d",Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,0,13.9
87,"Hyundai i10 Sportz 1.2",Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,0,2.25
88,"Hyundai Grand i10 Sportz",Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,0,5.75
89,"Hyundai Santro Xing XO",Hyderabad,2007,73745,Petrol,Manual,First,17,1086,NULL,5,0,2.1
90,"Honda Amaze SX i-VTEC",Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,0,5
91,"Toyota Fortuner 4x2 Manual",Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,0,16.5
92,"Audi A6 2011-2015 35 TDI Premium",Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,0,39.58
93,"Ford Ecosport 1.5 DV5 MT Titanium Optional",Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,0,5.5
94,"Mahindra XUV500 W8 2WD",Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,0,8.1
95,"Honda Amaze SX i-DTEC",Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,0,3.5
96,"Volkswagen Polo Diesel Highline 1.2L",Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,0,2.79
97,"Hyundai Verna Transform SX VGT CRDi",Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,0,3.45
98,"Maruti Wagon R VXI BS IV",Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,0,4.45
99,"Volkswagen Polo Petrol Highline 1.6L",Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,0,2.65
100,"Hyundai i20 1.4 CRDi Sportz",Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,0,3.8
101,"Hyundai i20 Asta 1.2",Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,0,4.65
102,"Datsun GO Plus T Petrol",Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,6.45,3.95
103,"Audi A4 3.0 TDI Quattro Premium",Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,0,9.8
104,"Hyundai i20 2015-2017 Asta",Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,0,2.7
105,"Maruti Omni 5 Str STD",Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,0,2.41
106,"Toyota Etios Liva 1.2 G",Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,6.41,3.9
107,"Jaguar XF 3.0 Litre S Premium Luxury",Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,0,24
108,"Mahindra XUV500 W8 2WD",Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,0,5.75
109,"Hyundai Verna 1.6 SX CRDI (O) AT",Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,0,5.25
110,"Toyota Innova Crysta 2.8 ZX AT",Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.25
111,"Maruti Eeco 5 Seater AC",Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,5.13,3.91
112,"Tata Nano Twist XT",Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,0,2.15
113,"BMW 3 Series 320d Luxury Line",Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,54.43,20.75
114,"Honda Civic 2006-2010 1.8 V MT",Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,0,3.35
115,"Toyota Innova 2.5 VX (Diesel) 7 Seater",Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,0,11.11
116,"Volvo V40 Cross Country D3",Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,0,20
117,"Nissan Micra XV CVT",Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,9.51,6.55
118,"BMW 5 Series 2010-2013 525i",Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,0,7
119,"Maruti Vitara Brezza VDi",Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,9.96,7.5
120,"Hyundai Santro Xing XL eRLX Euro III",Mumbai,2005,102000,Petrol,Manual,Second,17,1086,NULL,5,0,0.85
121,"Mercedes-Benz B Class B200 CDI",Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,0,16.75
122,"Hyundai Verna CRDi 1.6 SX Option",Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,14.44,10.95
123,"Maruti Wagon R LXI BS IV",Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,0,2.45
124,"Tata Nano XTA",Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,0,3.23
125,"Mahindra Scorpio VLX",Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,0,7.75
126,"Mercedes-Benz New C-Class 200 K AT",Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,0,9.35
127,"Maruti Wagon R LXI CNG",Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,0,3.25
128,"Honda CR-V 2.4 MT",Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,0,5.25
129,"Volkswagen Vento 1.5 TDI Comfortline AT",Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,0,7.25
130,"Maruti Ciaz VXi Plus",Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,0,7.47
131,"Mahindra XUV500 AT W10 FWD",Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,0,13.25
132,"Maruti Ritz VXI ABS",Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,0,5.81
133,"Maruti Alto K10 VXI",Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,4.53,2.6
134,"Mercedes-Benz SLC 43 AMG",Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,95.04,54
135,"Hyundai Verna VTVT 1.6 AT SX Plus",Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,13.49,11.5
136,"Maruti Alto LXi BSIII",Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,0,1.6
137,"BMW 1 Series 118d Base",Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,0,17.22
138,"Honda Jazz 1.2 V CVT i VTEC",Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,0,6
139,"Honda Civic 2006-2010 1.8 V MT",Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,0,3.95
140,"Mercedes-Benz New C-Class C 220 CDI Avantgarde",Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,0,17.95
141,"Honda Amaze SX i-DTEC",Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,0,3.7
142,"Maruti Swift VVT VXI",Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,0,5.43
143,"Hyundai Santro Xing XO eRLX Euro II",Kochi,2008,80759,Petrol,Manual,Third,17,1086,NULL,5,0,1.67
144,"Toyota Fortuner 3.0 Diesel",Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,0,13.49
145,"Chevrolet Beat LT Option",Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,0,2.85
146,"Skoda Rapid 1.5 TDI Elegance",Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,0,4.75
147,"Maruti Ciaz 1.4 Alpha",Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,0,9.9
149,"BMW 3 Series Luxury Line",Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,60.88,26.5
150,"Audi A4 2.0 TDI 177 Premium Plus",Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,0,23.32
151,"Maruti Swift VDI",Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,0,6.25
152,"Mercedes-Benz S Class 2005 2013 S 500",Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,0,30
153,"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package",Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,0,9.86
154,"Skoda Superb Elegance 2.0 TDI CR AT",Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,0,8.5
155,"Hyundai EON Magna Plus",Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,0,4.23
156,"Volkswagen Polo Diesel Trendline 1.2L",Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,0,3.5
157,"Datsun GO NXT",Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,0,2.5
158,"Honda Brio S MT",Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,0,2.39
159,"Mercedes-Benz B Class B180",Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,0,11.25
160,"Honda City i DTEC V",Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,0,7.11
161,"Toyota Innova 2.5 G (Diesel) 7 Seater",Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,0,10.9
162,"Maruti Swift VXI Optional",Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,0,6.2
163,"Mahindra XUV500 W8 2WD",Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,0,7.9
164,"Ford Ecosport 1.5 DV5 MT Ambiente",Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,0,4.42
165,"Toyota Fortuner 4x2 Manual",Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,0,13.5
166,"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy",Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,0,6.25
167,"Ford Figo Diesel Titanium",Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,0,2.1
168,"BMW X5 xDrive 30d",Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,0,45
169,"Mercedes-Benz New C-Class C 220 CDI Style",Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,0,33.66
170,"Honda Brio V MT",Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,0,3.65
171,"Hyundai i10 Magna 1.2",Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,0,2.75
172,"Mercedes-Benz GLC 220",Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,0,42.5
173,"Hyundai Grand i10 1.2 Kappa Asta",Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,7.39,6.5
174,"Audi A6 2011-2015 2.0 TDI Premium Plus",Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,0,19
175,"Volkswagen Vento Petrol Highline AT",Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,0,4.45
176,"Mini Countryman Cooper D",Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,0,23
177,"Hyundai i20 Asta 1.4 CRDi",Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,0,8.35
178,"Audi A6 2011-2015 2.0 TDI Premium Plus",Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,0,22.95
179,"Chevrolet Beat Diesel LT",Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,0,1.5
180,"Skoda Superb Elegance 1.8 TSI AT",Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,0,6.89
181,"Ford Fiesta 1.4 TDCi EXI Limited Edition",Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,0,1.45
182,"BMW 5 Series 520d Luxury Line",Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,69.47,33.5
183,"Chevrolet Optra Magnum 1.6 LS BS3",Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,0,1.25
184,"Volkswagen Polo Diesel Highline 1.2L",Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,0,4.2
185,"Renault Lodgy 110PS RxZ 8 Seater",Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,0,6.75
186,"Mercedes-Benz E-Class E250 CDI Avantgrade",Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,0,32
187,"Maruti Baleno Alpha",Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,8.78,7.5
188,"Hyundai Verna 1.6 SX",Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,0,4.6
189,"Hyundai i10 Magna 1.1",Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,0,4.04
190,"Mahindra Scorpio 1.99 S10 4WD",Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7,0,10.31
191,"Land Rover Range Rover 2.2L Dynamic",Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,0,55.76
192,"Ford Figo Diesel ZXI",Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,0,2.6
193,"Maruti Ertiga ZDI",Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,12.74,8.5
194,"Honda City 1.5 GXI",Ahmedabad,2007,60006,Petrol,Manual,First,0,0,0,0,0,2.95
195,"Honda Amaze S i-Dtech",Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,0,3.5
196,"Hyundai i10 Magna",Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,0,3.55
197,"Honda Amaze S i-Dtech",Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,0,3.25
198,"Skoda Laura Ambiente",Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5,0,4.5
199,"Renault Duster 85PS Diesel RxL",Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,0,5.35
200,"Mahindra NuvoSport N6",Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,10.52,6.5
201,"Maruti Vitara Brezza ZDi Plus Dual Tone",Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,11.98,9
202,"Hyundai i20 Asta Option 1.2",Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,0,6
203,"Skoda Fabia 1.4 MPI Ambiente",Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5,0,2.75
204,"Tata Indigo eCS GLX",Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,0,1.5
205,"Audi Q3 2012-2015 35 TDI Quattro Premium Plus",Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,0,19.9
206,"Skoda Octavia Elegance 1.8 TSI AT",Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,0,10
207,"Toyota Etios Liva GD SP",Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,0,3
208,"Maruti Swift 1.3 VXi",Kolkata,2010,42001,Petrol,Manual,First,16.1,0,0,0,0,2.11
209,"Mercedes-Benz B Class B180",Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,0,11.96
210,"Honda Amaze S Diesel",Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,8.54,3.25
211,"Hyundai Verna 1.6 SX",Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,0,4.75
212,"Renault Duster 85PS Diesel RxL Optional",Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,0,5.95
213,"Hyundai Creta 1.6 VTVT S",Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,0,8.15
214,"Maruti Wagon R AMT VXI",Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5,0,4.22
215,"Mercedes-Benz New C-Class C250 Avantgarde",Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,0,10.5
216,"Audi A8 L 3.0 TDI quattro",Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,0,45
217,"Hyundai i10 Magna 1.1",Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,0,2.9
218,"Skoda Rapid 1.6 MPI AT Style Black Package",Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,0,8.9
219,"Skoda Superb Style 1.8 TSI AT",Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,33.58,26
220,"Hyundai i20 Active 1.2 SX",Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,0,8.22
221,"Honda Amaze VX i-DTEC",Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,0,3.5
